Columna					Descripción							Tipo de dato
person_age				Edad del solicitante en años					Entero (int)
person_gender				Género del solicitante (male/female)				Categórico (string)
person_education			Nivel educativo (High School, Bachelor, Master, etc.)		Categórico (string)
person_income				Ingreso anual del solicitante					Entero (int)
person_emp_exp				Años de experiencia laboral					Entero (int)
person_home_ownership			Situación de vivienda (RENT/OWN/MORTGAGE/OTHER)			Categórico (string)
loan_amnt				Monto del préstamo solicitado					Entero (int)
loan_intent				Propósito del préstamo (PERSONAL, EDUCATION, MEDICAL, etc.)	Categórico (string)
loan_int_rate				Tasa de interés (en puntos básicos, ej: 1602 = 16.02%)		Entero/Flotante (int/float)
loan_percent_income			Porcentaje del préstamo respecto al ingreso			Entero (int)
cb_person_cred_hist_length		Años de historial crediticio					Entero (int)
credit_score				Puntuación crediticia del solicitante				Entero (int)
previous_loan_defaults_on_file		Defaults anteriores (Yes/No)					Categórico (string)
loan_status				Variable objetivo: 1 si default, 0 si pagado			Binario (int)
